year,avg_usd_kgs,inflation_index,avg_salary_kgs
2010,45.98835761772853,107.99647234613481,7189.0
2011,46.13591753424657,116.5872113773831,9304.0
2012,47.00501038251366,102.76844236540947,10726.0
2013,48.43856997245179,106.61806689390083,11341.0
2014,53.66281534246575,107.53424729775884,12285.0
2015,64.47968493150685,106.5033183899339,13483.0
2016,69.90179699453552,100.38883829689588,14847.0
2017,68.86562246575342,103.17530986379924,15670.0
2018,68.84271178082192,101.54266145238435,16427.0
2019,69.78952794520548,101.13,17232.0
2020,77.36163278688524,106.32255417140331,18940.0
2021,84.63992547945205,111.90503981851454,19330.0
2022,84.12528465753425,113.92290931741762,26540.0
2023,87.8605210958904,110.79900823255582,31604.0
2024,87.14241147540983,105.02050907853749,36047.0
